lengte	geslacht	middelbaar	bachelor	studierichting	kleur
159	V	74	61	B	R
182	M	79	72	B	L
164	V	79	79	B	L
190	M	74	70	B	D
164	V	82	79	B	D
177	M	75	80	B	D
170	V	65	56	B	R
172	V	75	59	B	L
164	V	60	64	B	L
162	V	77	64	B	L
169	V	80	64	B	D
190	M	70	59	B	D
177	V	75	73	B	L
172	V	75	63	B	D
162	V	68	70	B	L
181	M	67	64	B	L
187	M	65	60	B	D
180	M	69	61	B	L
187	M	86	85	B	L
165	V	60	58	B	R
180	V	79	68	B	D
179	M	77	66	B	D
187	M	69	74	B	L
184	M	61	70	B	L
172	V	73	80	B	L
175	V	66	71	B	L
184	M	65	59	B	L
164	V	70	62	B	D
173	V	73	66	B	D
176	V	72	78	B	D
178	V	73	71	B	D
168	V	78	74	B	D
167	V	82	68	B	D
170	V	75	59	S	R
160	V	91	89	S	R
180	V	73	65	S	D
168	M	71	64	S	D
171	M	70	63	S	L
170	M	81	78	S	D
168	M	70	51	S	R
184	M	77	78	S	R
170	M	71	50	S	D
183	M	76	64	S	D
170	M	73	76	S	L
173	V	80	57	G	D
167	M	67	69	G	L
165	V	68	59	G	D
178	V	68	70	G	R
166	V	80	57	G	L
167	M	70	68	G	R
170	V	75	66	G	L
168	V	79	68	G	R
168	M	75	57	G	L
166	V	77	72	G	L
167	V	78	67	G	D
173	M	80	66	G	L
